Datetime,TotalD,GEFS,NDFD,GAVG,REAL
268,1157578.6630306065,150997.78749267664,475263.7531395592,166046.17998980172,4146.7250250286215
269,1157578.6630306065,150997.78749267664,475263.7531395592,166046.17998980172,4146.7250250286215
270,1166168.7075187939,150997.78749267664,475813.7902208723,166046.17998980172,4146.7250250286215
271,1166168.7075187939,150997.78749267664,475813.7902208723,166046.17998980172,4146.7250250286215
272,1166168.7075187939,150997.78749267664,475813.7902208723,166046.17998980172,4146.7250250286215
273,1166168.7075187939,150997.78749267664,475813.7902208723,166046.17998980172,4146.7250250286215
274,1166168.7075187939,150997.78749267664,475813.7902208723,166046.17998980172,4146.7250250286215
275,1166168.7075187939,150997.78749267664,475813.7902208723,166046.17998980172,4146.7250250286215
276,1174573.2243850315,150997.78749267664,476311.9041875814,166046.17998980172,4146.7250250286215
277,1174573.2243850315,150997.78749267664,476311.9041875814,166046.17998980172,4146.7250250286215
278,1174573.2243850315,150997.78749267664,476311.9041875814,166046.17998980172,4146.7250250286215
279,1174573.2243850315,150997.78749267664,476311.9041875814,166046.17998980172,4146.7250250286215
280,1174573.2243850315,150997.78749267664,476311.9041875814,166046.17998980172,4146.7250250286215
281,1174573.2243850315,150997.78749267664,476311.9041875814,166046.17998980172,4146.7250250286215
282,1182784.4245213561,150997.78749267664,476652.5045561574,166046.17998980172,4146.7250250286215
283,1182784.4245213561,150997.78749267664,476652.5045561574,166046.17998980172,4146.7250250286215
284,1182784.4245213561,150997.78749267664,476652.5045561574,166046.17998980172,4146.7250250286215
285,1182784.4245213561,150997.78749267664,476652.5045561574,166046.17998980172,4146.7250250286215
286,1182784.4245213561,150997.78749267664,476652.5045561574,166046.17998980172,4146.7250250286215
287,1182784.4245213561,150997.78749267664,476652.5045561574,166046.17998980172,4146.7250250286215
288,1189643.2886661636,152996.28965738654,479744.759472745,168044.68215451163,4146.7250250286215
289,1189643.2886661636,152996.28965738654,479744.759472745,168044.68215451163,4146.7250250286215
290,1189643.2886661636,152996.28965738654,479744.759472745,168044.68215451163,4146.7250250286215
291,1189643.2886661636,152996.28965738654,479744.759472745,168044.68215451163,4146.7250250286215
292,1189643.2886661636,152996.28965738654,479744.759472745,168044.68215451163,4146.7250250286215
293,1189643.2886661636,152996.28965738654,479744.759472745,168044.68215451163,4146.7250250286215
294,1194627.2563232842,152996.28965738654,479871.4930494546,168044.68215451163,4146.7250250286215
295,1194627.2563232842,152996.28965738654,479871.4930494546,168044.68215451163,4146.7250250286215
296,1194627.2563232842,152996.28965738654,479871.4930494546,168044.68215451163,4146.7250250286215
297,1194627.2563232842,152996.28965738654,479871.4930494546,168044.68215451163,4146.7250250286215
298,1194627.2563232842,152996.28965738654,479871.4930494546,168044.68215451163,4146.7250250286215
299,1194627.2563232842,152996.28965738654,479871.4930494546,168044.68215451163,4146.7250250286215
300,1199303.8599279616,152996.28965738654,479979.1782997746,168044.68215451163,4146.7250250286215
301,1199303.8599279616,152996.28965738654,479979.1782997746,168044.68215451163,4146.7250250286215
302,1199303.8599279616,152996.28965738654,479979.1782997746,168044.68215451163,4146.7250250286215
303,1199303.8599279616,152996.28965738654,479979.1782997746,168044.68215451163,4146.7250250286215
304,1199303.8599279616,152996.28965738654,479979.1782997746,168044.68215451163,4146.7250250286215
305,1199303.8599279616,152996.28965738654,479979.1782997746,168044.68215451163,4146.7250250286215
306,1202982.891491833,152996.28965738654,480049.5134166254,168044.68215451163,4146.7250250286215
307,1202982.891491833,152996.28965738654,480049.5134166254,168044.68215451163,4146.7250250286215
308,1202982.891491833,152996.28965738654,480049.5134166254,168044.68215451163,4146.7250250286215
309,1202982.891491833,152996.28965738654,480049.5134166254,168044.68215451163,4146.7250250286215
310,1202982.891491833,152996.28965738654,480049.5134166254,168044.68215451163,4146.7250250286215
311,1202982.891491833,152996.28965738654,480049.5134166254,168044.68215451163,4146.7250250286215
312,1206093.025001372,153691.6865689491,481242.87100180116,168740.0790660742,4146.7250250286215
313,1206093.025001372,153691.6865689491,481242.87100180116,168740.0790660742,4146.7250250286215
314,1206093.025001372,153691.6865689491,481242.87100180116,168740.0790660742,4146.7250250286215
315,1206093.025001372,153691.6865689491,481242.87100180116,168740.0790660742,4146.7250250286215
316,1206093.025001372,153691.6865689491,481242.87100180116,168740.0790660742,4146.7250250286215
317,1206093.025001372,153691.6865689491,481242.87100180116,168740.0790660742,4146.7250250286215
318,1208533.401920411,153691.6865689491,481262.76358926983,168740.0790660742,4146.7250250286215
319,1208533.401920411,153691.6865689491,481262.76358926983,168740.0790660742,4146.7250250286215
320,1208533.401920411,153691.6865689491,481262.76358926983,168740.0790660742,4146.7250250286215
321,1208533.401920411,153691.6865689491,481262.76358926983,168740.0790660742,4146.7250250286215
322,1208533.401920411,153691.6865689491,481262.76358926983,168740.0790660742,4146.7250250286215
323,1208533.401920411,153691.6865689491,481262.76358926983,168740.0790660742,4146.7250250286215
324,1210769.9051429515,153691.6865689491,481273.16483083344,168740.0790660742,4146.7250250286215
325,1210769.9051429515,153691.6865689491,481273.16483083344,168740.0790660742,4146.7250250286215
326,1210769.9051429515,153691.6865689491,481273.16483083344,168740.0790660742,4146.7250250286215
327,1210769.9051429515,153691.6865689491,481273.16483083344,168740.0790660742,4146.7250250286215
328,1210769.9051429515,153691.6865689491,481273.16483083344,168740.0790660742,4146.7250250286215
329,1210769.9051429515,153691.6865689491,481273.16483083344,168740.0790660742,4146.7250250286215
330,1212231.7712765161,153691.6865689491,481273.16483083344,168740.0790660742,4146.7250250286215
331,1212231.7712765161,153691.6865689491,481273.16483083344,168740.0790660742,4146.7250250286215
