Datetime,TotalD,GEFS,NDFD,GAVG,REAL
77,497249.99999999994,140388.84681456885,11872.691923321492,107242.13342846413,151444.65910700764
78,503624.99999999994,145878.10478390462,15515.128293859409,108219.2828403025,156933.9170763434
79,509999.99999999994,151367.3627532404,19157.564664397323,109279.37761924295,162423.17504567918
80,516374.99999999994,156856.62072257616,22754.442772870236,110342.59785349948,168160.67504567918
81,522749.99999999994,162345.87869191193,26785.754925080048,111680.32948703127,173898.17504567918
82,529124.9999999999,167835.1366612477,31034.652750802234,113220.13144756686,179635.67504567918
83,535499.9999999999,173572.6366612477,35488.44204079384,115085.99723479558,185373.17504567918
84,541874.9999999999,179310.1366612477,39814.266810127876,117083.98371464125,191110.67504567918
85,548249.9999999999,185047.6366612477,44708.829215204634,119247.92573797687,196848.17504567918
86,554624.9999999999,190785.1366612477,49605.95508883793,121546.90029010529,202585.67504567918
87,560999.9999999999,196522.6366612477,54503.08096247123,124028.15450119988,208323.17504567918
88,567374.9999999999,202260.1366612477,59447.88697176928,127069.29127983299,214060.67504567918
89,573749.9999999999,207997.6366612477,64937.14494110504,130120.58893103218,219798.17504567918
90,580124.9999999999,213735.1366612477,69183.75861636647,133763.98569005355,225535.67504567918
91,586499.9999999999,219472.6366612477,73621.18647445514,138216.99319958233,231273.17504567918
92,592874.9999999999,225210.1366612477,78472.94444379091,142962.59401459826,237010.67504567918
93,599249.9999999999,230947.6366612477,83359.07774341332,147859.71988823154,242748.17504567918
94,605624.9999999999,236685.1366612477,89096.57774341332,153348.9778575673,248485.67504567918
95,611999.9999999999,242422.6366612477,94834.07774341332,158838.23582690308,254223.17504567918
96,618374.9999999999,248160.1366612477,94909.9951529629,160249.36402380827,259960.67504567918
97,624749.9999999999,253897.6366612477,95069.57430237865,162159.1221699681,265698.17504567915
98,631124.9999999999,259635.1366612477,95166.7529969584,164422.71426050508,271435.67504567915
99,637499.9999999999,265372.6366612477,95206.19749019042,166686.30635104206,277173.17504567915
100,643874.9999999999,271110.1366612477,95437.87838804674,169018.5719909811,282910.67504567915
101,650249.9999999999,276847.6366612477,95671.46386631759,171391.31009274127,288648.17504567915
102,656624.9999999999,282585.1366612477,95794.59290705452,173912.05924386292,294385.67504567915
103,662999.9999999999,288322.6366612477,95914.39563519317,176587.02363327835,300123.17504567915
104,669374.9999999999,294060.1366612477,95985.54573967698,179261.98802269378,305860.67504567915
105,675749.9999999999,299797.6366612477,96149.72718380844,182147.90689168958,311598.17504567915
106,682124.9999999999,305535.1366612477,96149.72718380844,185330.03663944142,317335.67504567915
107,688499.9999999999,311272.6366612477,96263.20565310116,188512.16638719325,323073.17504567915
108,694874.9999999999,317010.1366612477,96537.15062474292,191686.7485106798,328810.67504567915
109,701249.9999999999,322747.6366612477,96541.49030618931,195223.00318189152,334548.17504567915
110,707624.9999999999,328485.1366612477,97541.93873418594,199154.40203217836,340285.67504567915
111,713999.9999999999,334222.6366612477,97621.24870608022,203569.4011705198,346023.17504567915
112,720374.9999999999,339960.1366612477,98901.40614011486,208466.52704415307,351760.67504567915
113,726749.9999999999,345697.6366612477,99625.95653729528,213955.78501348884,357498.17504567915
114,733124.9999999999,351435.1366612477,101096.88872689106,219445.0429828246,363235.67504567915
115,739499.9999999999,357172.6366612477,101636.43216619332,224934.30095216038,368973.17504567915
