Datetime,TotalD,GEFS,NDFD,GAVG,REAL
0,6374.999999999998,0.0,0.0,0.0,0.0
1,12749.999999999996,0.0,0.0,0.0,0.0
2,19124.999999999993,0.0,0.0,0.0,0.0
3,25499.999999999993,0.0,0.0,0.0,0.0
4,31874.999999999993,0.0,0.0,0.0,0.0
5,38249.99999999999,0.0,0.0,0.0,0.0
6,44624.99999999999,0.0,0.0,0.0,0.0
7,50999.99999999999,0.0,0.0,0.0,0.0
8,57374.99999999999,0.0,0.0,0.0,0.0
9,63749.99999999999,0.0,0.0,0.0,0.0
10,70124.99999999999,0.0,0.0,0.0,0.0
11,76499.99999999999,0.0,0.0,0.0,0.0
12,82874.99999999999,0.0,0.0,0.0,0.0
13,89249.99999999999,0.0,0.0,0.0,0.0
14,95624.99999999999,0.0,0.0,0.0,0.0
15,101999.99999999999,0.0,0.0,0.0,0.0
16,108374.99999999999,0.0,0.0,0.0,0.0
17,114749.99999999999,0.0,0.0,0.0,0.0
18,121124.99999999999,0.0,0.0,0.0,0.0
19,127499.99999999999,0.0,0.0,0.0,0.0
20,133874.99999999997,0.0,0.0,0.0,0.0
21,140249.99999999997,0.0,0.0,0.0,0.0
22,146624.99999999997,0.0,0.0,0.0,0.0
23,152999.99999999997,0.0,0.0,0.0,0.0
24,159374.99999999997,0.0,0.0,0.0,0.0
25,165749.99999999997,0.0,0.0,0.0,3329.3115808751595
26,172124.99999999997,0.0,0.0,0.0,4599.565912933801
27,178499.99999999997,0.0,0.0,0.0,5112.587157973755
28,184874.99999999997,0.0,0.0,0.0,6152.8737057819435
29,191249.99999999997,0.0,0.0,0.0,6814.342759792635
30,197624.99999999997,0.0,0.0,0.0,7315.123355545975
31,203999.99999999997,0.0,0.0,0.0,7656.969099102807
32,210374.99999999997,0.0,0.0,0.0,7720.974389818228
33,216749.99999999997,0.0,0.0,0.0,8870.709306192053
34,223124.99999999997,0.0,0.0,0.0,10429.388349167377
35,229499.99999999997,0.0,0.0,0.0,11596.326699810324
36,235874.99999999997,0.0,0.0,0.0,12187.424660223876
37,242249.99999999997,0.0,0.0,0.0,12853.103433184877
38,248624.99999999997,0.0,0.0,0.0,14119.703620238277
39,254999.99999999997,0.0,0.0,0.0,15299.051594348208
40,261374.99999999997,0.0,0.0,0.0,17191.126673982868
41,267749.99999999994,0.0,0.0,0.0,18741.12051061246
42,274124.99999999994,0.0,0.0,0.0,19536.756726968284
43,280499.99999999994,0.0,0.0,0.0,20649.556149372427
44,286874.99999999994,0.0,0.0,0.0,21778.62998068
45,293249.99999999994,0.0,0.0,0.0,23455.46122564169
46,299624.99999999994,0.0,0.0,0.0,24554.966903768967
47,305999.99999999994,0.0,0.0,0.0,27404.549809905722
48,312374.99999999994,977.1494118383667,0.0,0.0,28941.84563603215
49,318749.99999999994,4619.585782376283,0.0,3226.4115730838234,31989.510520865173
50,325124.99999999994,8262.022152914198,0.0,6799.376936898774,35037.175405698195
51,331499.99999999994,11904.458523452115,0.0,10441.81330743669,38084.84029053122
52,337874.99999999994,15546.894893990031,0.0,14084.249677974607,41132.50517536424
53,344249.99999999994,19189.331264527947,0.0,17722.774725681586,44180.17006019726
54,350624.99999999994,23220.64341673776,0.0,21365.2110962195,47227.834945030285
55,356999.99999999994,27251.95556894757,0.0,25396.523248429312,50275.49982986331
56,363374.99999999994,31283.267721157383,0.0,29427.835400639124,53323.16471469633
57,369749.99999999994,35736.27523068615,0.0,33460.46209214184,56370.82959952935
58,376124.99999999994,40633.40110431945,0.0,37913.46960167061,59418.494484362374
59,382499.99999999994,45530.526977952744,0.0,42810.595475303904,62755.78011646982
60,388874.99999999994,50427.65285158604,0.0,47707.7213489372,66398.21648700774
61,395249.99999999994,55324.77872521934,0.0,52604.8472225705,70040.65285754566
62,401624.99999999994,60221.904598852634,0.0,57501.973096203794,73683.08922808358
63,407999.99999999994,65119.03047248593,0.0,62399.09896983709,77325.5255986215
64,414374.99999999994,70016.15634611923,0.0,67296.22484347038,80967.96196915943
65,420749.99999999994,74913.28221975252,0.0,72193.35071710368,85420.96947868819
66,427124.99999999994,80402.5401890883,0.0,77682.60868643945,90318.09535232148
67,433499.99999999994,85891.79815842406,0.0,82115.97860214801,95807.35332165725
68,439874.99999999994,91381.05612775983,0.0,86691.09956073796,101296.61129099302
69,446249.99999999994,97118.55612775983,0.0,90536.60564193009,107034.11129099302
70,452624.99999999994,102856.05612775983,0.0,96025.86361126584,112771.61129099302
71,458999.99999999994,108593.55612775983,0.0,101763.36361126584,118509.11129099302
72,465374.99999999994,113068.98664407418,7.880583230936597,102550.35886057907,123998.3692603288
73,471749.99999999994,118431.81493722578,472.1912494272241,103398.45632209968,129487.62722966456
74,478124.99999999994,123921.07290656155,945.3828117077434,104310.68519294902,134976.88519900033
75,484499.99999999994,129410.33087589731,4587.819182245659,105287.8346047874,140466.1431683361
76,490874.99999999994,134899.58884523308,8230.255552783576,106264.98401662576,145955.40113767187
77,497249.99999999994,140388.84681456885,11872.691923321492,107242.13342846413,151444.65910700764
78,503757.0918026655,145878.25195656336,15515.128293859409,108219.2828403025,156933.9170763434
79,510132.0918026655,151367.50992589912,19157.564664397323,109279.37761924295,162423.17504567918
80,516507.0918026655,156856.7678952349,22754.442772870236,110342.59785349948,168160.67504567918
81,522882.0918026655,162346.02586457066,26785.754925080048,111680.32948703127,173898.17504567918
82,529257.0918026654,167835.28383390643,31034.652750802234,113220.13144756686,179635.67504567918
83,535632.0918026654,173572.78383390643,35488.44204079384,115085.99723479558,185373.17504567918
