Datetime,TotalD,GEFS,NDFD,GAVG,REAL
0,6374.999999999998,0.0,0.0,0.0
1,12749.999999999996,0.0,0.0,0.0
2,19124.999999999993,0.0,0.0,0.0
3,25499.999999999993,0.0,0.0,0.0
4,31874.999999999993,0.0,0.0,0.0
5,38249.99999999999,0.0,0.0,0.0
6,44624.99999999999,0.0,0.0,0.0
7,50999.99999999999,0.0,0.0,0.0
8,57374.99999999999,0.0,0.0,0.0
9,63749.99999999999,0.0,0.0,0.0
10,70124.99999999999,0.0,0.0,0.0
11,76499.99999999999,0.0,0.0,0.0
12,82874.99999999999,0.0,0.0,0.0
13,89249.99999999999,0.0,0.0,0.0
14,95624.99999999999,0.0,0.0,0.0
15,101999.99999999999,0.0,0.0,0.0
16,108374.99999999999,0.0,0.0,0.0
17,114749.99999999999,0.0,0.0,0.0
18,121124.99999999999,0.0,0.0,0.0
19,127499.99999999999,0.0,0.0,0.0
20,133874.99999999997,0.0,0.0,0.0
21,140249.99999999997,0.0,0.0,0.0
22,146624.99999999997,0.0,0.0,0.0
23,152999.99999999997,0.0,0.0,0.0
24,159374.99999999997,0.0,0.0,0.0
25,165749.99999999997,0.0,0.0,0.0
26,172124.99999999997,0.0,0.0,0.0
27,178499.99999999997,0.0,0.0,0.0
28,184874.99999999997,0.0,0.0,0.0
29,191249.99999999997,0.0,0.0,0.0
30,197624.99999999997,0.0,0.0,0.0
31,203999.99999999997,0.0,0.0,0.0
32,210374.99999999997,0.0,0.0,0.0
33,216749.99999999997,0.0,0.0,0.0
34,223124.99999999997,0.0,0.0,0.0
35,229499.99999999997,0.0,0.0,0.0
36,235874.99999999997,0.0,0.0,0.0
37,242249.99999999997,0.0,0.0,0.0
38,248624.99999999997,0.0,0.0,0.0
39,254999.99999999997,0.0,0.0,0.0
40,261374.99999999997,0.0,0.0,0.0
41,267749.99999999994,0.0,0.0,0.0
42,274124.99999999994,0.0,0.0,0.0
43,280499.99999999994,0.0,0.0,0.0
44,286874.99999999994,0.0,0.0,0.0
45,293249.99999999994,0.0,0.0,0.0
46,299624.99999999994,0.0,0.0,0.0
47,305999.99999999994,0.0,0.0,0.0
48,312374.99999999994,1060.094778940448,0.0,977.1494118383705
49,318749.99999999994,4702.531149478364,0.0,4619.585782376286
50,325124.99999999994,8344.96752001628,0.0,8262.022152914202
51,331499.99999999994,11987.403890554197,0.0,11904.458523452118
52,337874.99999999994,15629.840261092113,0.0,15546.894893990035
53,344249.99999999994,19272.27663163003,0.0,19189.33126452795
54,350624.99999999994,22914.713002167944,0.0,22831.767635065866
55,356999.99999999994,26946.025154377756,0.0,26863.079787275678
56,363374.99999999994,30977.337306587568,0.0,30894.39193948549
57,369749.99999999994,35088.771993306495,0.0,34927.018630988205
58,376124.99999999994,39541.77950283526,0.0,39380.02614051697
59,382499.99999999994,44438.90537646856,0.0,44277.15201415027
60,388874.99999999994,49336.031250101856,0.0,49174.277887783566
61,395249.99999999994,54233.15712373515,0.0,54071.40376141686
62,401624.99999999994,59130.28299736845,0.0,58968.52963505016
63,407999.99999999994,64027.408871001746,0.0,63865.655508683456
64,414374.99999999994,68924.53474463504,0.0,68762.78138231675
65,420749.99999999994,73821.66061826833,0.0,73659.90725595005
66,427124.99999999994,79310.9185876041,0.0,79149.16522528582
67,433499.99999999994,84800.17655693987,0.0,84638.42319462159
68,439874.99999999994,90289.43452627564,0.0,90127.68116395736
69,446249.99999999994,95778.69249561141,0.0,95616.93913329313
70,452624.99999999994,101516.19249561141,0.0,101354.43913329313
71,458999.99999999994,107253.69249561141,0.0,107091.93913329313
72,465374.99999999994,110301.35738044443,41.718085289170496,107939.9528097391
73,471749.99999999994,113349.02226527745,3321.203725155577,108856.07127558815
74,478124.99999999994,116396.68715011048,6910.790462338602,109833.22068742652
75,484499.99999999994,119444.3520349435,10545.679208611231,110813.38436483833
76,490874.99999999994,122940.05497023155,14172.444202594299,112028.32777886566
77,497249.99999999994,127323.12776300241,17806.289021764875,113455.56734939973
78,503757.0918026655,132160.98667145768,21442.600480478523,114895.87611507889
79,510132.0918026655,137058.11254509096,24854.963559172375,116657.51981437468
80,516507.0918026655,141955.23841872424,28121.784843046746,118528.60234887945
81,522882.0918026655,146852.36429235752,30923.88223300311,120526.58882872511
82,529257.0918026654,151749.4901659908,34122.272948700294,122660.9785376575
83,535632.0918026654,157112.3184591424,38054.61997591562,124795.36824658989
84,542448.9787567147,162602.30883134954,41507.83236922749,127099.38851052347
85,548823.9787567147,168091.5668006853,46390.0376485429,129727.82277833369
86,555198.9787567147,173580.82477002108,50556.98036547105,132566.9383978101
87,561573.9787567147,179070.08273935685,55023.35223114325,135614.6032826431
88,567948.9787567147,184559.34070869262,59510.60766751182,138662.2681674761
89,574323.9787567147,190048.5986780284,64688.233599720814,142003.18656594973
90,581842.8753333105,195840.9297785192,68957.15915022082,145691.67324140773
91,588217.8753333105,201578.4297785192,73357.86292241327,150144.6807509365
92,594592.8753333105,207315.9297785192,78209.62089174904,154890.28156595243
93,600967.8753333105,213053.4297785192,83126.40180054725,159787.40743958572
94,607342.8753333105,218790.9297785192,88863.90180054725,165276.6654089215
95,613717.8753333105,224528.4297785192,94601.40180054725,170765.92337825726
96,622814.78495675,230278.87391339405,94720.92206710362,172587.90655388316
97,629189.78495675,236016.37391339405,95132.84019875836,174678.46906879646
98,635564.78495675,241753.87391339405,95546.94169675087,176942.06115933345
99,641939.78495675,247491.37391339405,95869.47656972687,179205.65324987043
100,648314.78495675,253228.87391339405,96565.66123250456,181740.65198260828
