Datetime,TotalD,GEFS,NDFD,GAVG,REAL
222,1051435.9906588753,136488.72850685526,465269.7558865755,220610.50094124267,50915.6168705961
223,1051435.9906588753,136488.72850685526,465269.7558865755,220610.50094124267,50915.6168705961
224,1051435.9906588753,136488.72850685526,465269.7558865755,220610.50094124267,50915.6168705961
225,1051435.9906588753,136488.72850685526,465269.7558865755,220610.50094124267,50915.6168705961
226,1051435.9906588753,136488.72850685526,465269.7558865755,220610.50094124267,50915.6168705961
227,1051435.9906588753,136488.72850685526,465269.7558865755,220610.50094124267,50915.6168705961
228,1072960.3539336137,136488.72850685526,466746.1364030278,220610.50094124267,50915.6168705961
229,1072960.3539336137,136488.72850685526,466746.1364030278,220610.50094124267,50915.6168705961
230,1072960.3539336137,136488.72850685526,466746.1364030278,220610.50094124267,50915.6168705961
231,1072960.3539336137,136488.72850685526,466746.1364030278,220610.50094124267,50915.6168705961
232,1072960.3539336137,136488.72850685526,466746.1364030278,220610.50094124267,50915.6168705961
233,1072960.3539336137,136488.72850685526,466746.1364030278,220610.50094124267,50915.6168705961
234,1091652.8326084607,136510.80064570488,468054.61906971026,220610.50094124267,50915.6168705961
235,1091652.8326084607,136510.80064570488,468054.61906971026,220610.50094124267,50915.6168705961
236,1091652.8326084607,136510.80064570488,468054.61906971026,220610.50094124267,50915.6168705961
237,1091652.8326084607,136510.80064570488,468054.61906971026,220610.50094124267,50915.6168705961
238,1091652.8326084607,136510.80064570488,468054.61906971026,220610.50094124267,50915.6168705961
239,1091652.8326084607,136510.80064570488,468054.61906971026,220610.50094124267,50915.6168705961
240,1108968.040221859,137412.8677881348,473354.0393460629,221512.5680836726,50915.6168705961
241,1108968.040221859,137412.8677881348,473354.0393460629,221512.5680836726,50915.6168705961
242,1108968.040221859,137412.8677881348,473354.0393460629,221512.5680836726,50915.6168705961
243,1108968.040221859,137412.8677881348,473354.0393460629,221512.5680836726,50915.6168705961
244,1108968.040221859,137412.8677881348,473354.0393460629,221512.5680836726,50915.6168705961
245,1108968.040221859,137412.8677881348,473354.0393460629,221512.5680836726,50915.6168705961
246,1123464.0441011682,137412.8677881348,475500.5181264488,221541.6799257262,50915.6168705961
247,1123464.0441011682,137412.8677881348,475500.5181264488,221541.6799257262,50915.6168705961
248,1123464.0441011682,137412.8677881348,475500.5181264488,221541.6799257262,50915.6168705961
249,1123464.0441011682,137412.8677881348,475500.5181264488,221541.6799257262,50915.6168705961
250,1123464.0441011682,137412.8677881348,475500.5181264488,221541.6799257262,50915.6168705961
251,1123464.0441011682,137412.8677881348,475500.5181264488,221541.6799257262,50915.6168705961
252,1137143.685438142,137412.8677881348,476256.5253664451,221546.10130552325,50915.6168705961
253,1137143.685438142,137412.8677881348,476256.5253664451,221546.10130552325,50915.6168705961
254,1137143.685438142,137412.8677881348,476256.5253664451,221546.10130552325,50915.6168705961
255,1137143.685438142,137412.8677881348,476256.5253664451,221546.10130552325,50915.6168705961
256,1137143.685438142,137412.8677881348,476256.5253664451,221546.10130552325,50915.6168705961
257,1137143.685438142,137412.8677881348,476256.5253664451,221546.10130552325,50915.6168705961
258,1147975.781470343,137414.41698060522,476839.5573064812,221546.10130552325,50915.6168705961
259,1147975.781470343,137414.41698060522,476839.5573064812,221546.10130552325,50915.6168705961
260,1147975.781470343,137414.41698060522,476839.5573064812,221546.10130552325,50915.6168705961
261,1147975.781470343,137414.41698060522,476839.5573064812,221546.10130552325,50915.6168705961
262,1147975.781470343,137414.41698060522,476839.5573064812,221546.10130552325,50915.6168705961
263,1147975.781470343,137414.41698060522,476839.5573064812,221546.10130552325,50915.6168705961
264,1157578.6630306065,138410.80938290918,479164.0422206712,222542.4937078272,50915.6168705961
265,1157578.6630306065,138410.80938290918,479164.0422206712,222542.4937078272,50915.6168705961
266,1157578.6630306065,138410.80938290918,479164.0422206712,222542.4937078272,50915.6168705961
267,1157578.6630306065,138410.80938290918,479164.0422206712,222542.4937078272,50915.6168705961
268,1157578.6630306065,138410.80938290918,479164.0422206712,222542.4937078272,50915.6168705961
269,1157578.6630306065,138410.80938290918,479164.0422206712,222542.4937078272,50915.6168705961
270,1166168.7075187939,138410.80938290918,479949.5500637908,222542.4937078272,50915.6168705961
271,1166168.7075187939,138410.80938290918,479949.5500637908,222542.4937078272,50915.6168705961
272,1166168.7075187939,138410.80938290918,479949.5500637908,222542.4937078272,50915.6168705961
273,1166168.7075187939,138410.80938290918,479949.5500637908,222542.4937078272,50915.6168705961
274,1166168.7075187939,138410.80938290918,479949.5500637908,222542.4937078272,50915.6168705961
275,1166168.7075187939,138410.80938290918,479949.5500637908,222542.4937078272,50915.6168705961
276,1174573.2243850315,138410.80938290918,480447.6640304999,222542.4937078272,50915.6168705961
277,1174573.2243850315,138410.80938290918,480447.6640304999,222542.4937078272,50915.6168705961
278,1174573.2243850315,138410.80938290918,480447.6640304999,222542.4937078272,50915.6168705961
279,1174573.2243850315,138410.80938290918,480447.6640304999,222542.4937078272,50915.6168705961
280,1174573.2243850315,138410.80938290918,480447.6640304999,222542.4937078272,50915.6168705961
281,1174573.2243850315,138410.80938290918,480447.6640304999,222542.4937078272,50915.6168705961
282,1182784.4245213561,138410.80938290918,480788.2643990759,222542.4937078272,50915.6168705961
283,1182784.4245213561,138410.80938290918,480788.2643990759,222542.4937078272,50915.6168705961
284,1182784.4245213561,138410.80938290918,480788.2643990759,222542.4937078272,50915.6168705961
285,1182784.4245213561,138410.80938290918,480788.2643990759,222542.4937078272,50915.6168705961
286,1182784.4245213561,138410.80938290918,480788.2643990759,222542.4937078272,50915.6168705961
287,1182784.4245213561,138410.80938290918,480788.2643990759,222542.4937078272,50915.6168705961
288,1189643.2886661636,140223.19252312096,482067.94958972174,224354.87684803898,50915.6168705961
289,1189643.2886661636,140223.19252312096,482067.94958972174,224354.87684803898,50915.6168705961
290,1189643.2886661636,140223.19252312096,482067.94958972174,224354.87684803898,50915.6168705961
291,1189643.2886661636,140223.19252312096,482067.94958972174,224354.87684803898,50915.6168705961
292,1189643.2886661636,140223.19252312096,482067.94958972174,224354.87684803898,50915.6168705961
293,1189643.2886661636,140223.19252312096,482067.94958972174,224354.87684803898,50915.6168705961
294,1194627.2563232842,140223.19252312096,482412.9751888777,224354.87684803898,50915.6168705961
295,1194627.2563232842,140223.19252312096,482412.9751888777,224354.87684803898,50915.6168705961
296,1194627.2563232842,140223.19252312096,482412.9751888777,224354.87684803898,50915.6168705961
297,1194627.2563232842,140223.19252312096,482412.9751888777,224354.87684803898,50915.6168705961
298,1194627.2563232842,140223.19252312096,482412.9751888777,224354.87684803898,50915.6168705961
299,1194627.2563232842,140223.19252312096,482412.9751888777,224354.87684803898,50915.6168705961
300,1199303.8599279616,140223.19252312096,482520.66043919773,224354.87684803898,50915.6168705961
301,1199303.8599279616,140223.19252312096,482520.66043919773,224354.87684803898,50915.6168705961
302,1199303.8599279616,140223.19252312096,482520.66043919773,224354.87684803898,50915.6168705961
