Datetime,TotalD,GEFS,NDFD,GAVG,REAL
98,631124.9999999999,234524.49986554642,90051.33573153101,202010.78241282195,312196.52829536237
99,637499.9999999999,240261.99986554642,92142.1824332458,207748.28241282195,317934.02829536237
100,643874.9999999999,245999.49986554642,95315.4841643256,213485.78241282195,323671.52829536237
101,650249.9999999999,251736.99986554642,99482.08260959068,219223.28241282195,329409.02829536237
102,656624.9999999999,257474.49986554642,102829.2000783158,224960.78241282195,335146.52829536237
103,662999.9999999999,263211.9998655464,104139.40004090675,230588.49443276387,340884.02829536237
104,669374.9999999999,268949.4998655464,105169.96170375806,236325.99443276387,346621.52829536237
105,675749.9999999999,274686.9998655464,105999.86708078215,241951.08831240298,352359.02829536237
106,682124.9999999999,280424.4998655464,107670.65484694688,247623.34831271603,358096.52829536237
107,688499.9999999999,286161.9998655464,109976.4079448009,253360.84831271603,363834.02829536237
108,694874.9999999999,291899.4998655464,113162.46192067435,259098.34831271603,369571.52829536237
109,701249.9999999999,297636.9998655464,114337.41654427293,264714.52185757365,375309.02829536237
110,707624.9999999999,303374.4998655464,119019.64071620585,270452.02185757365,381046.52829536237
111,713999.9999999999,309111.9998655464,122038.0163545458,276189.52185757365,386784.02829536237
112,720374.9999999999,314849.4998655464,122676.07594815924,281562.19662336557,392521.52829536237
113,726749.9999999999,320586.9998655464,124819.9681389381,287034.6805472773,398259.02829536237
114,733124.9999999999,326324.4998655464,126088.61051494733,292772.1805472773,403996.52829536237
115,739499.9999999999,332061.9998655464,126969.31519372812,298509.6805472773,409734.02829536237
116,745874.9999999999,337799.4998655464,128944.03896742665,304246.4600786264,415471.52829536237
117,752249.9999999999,343536.9998655464,131384.32262048445,309983.9600786264,421209.02829536237
118,758624.9999999999,349274.4998655464,131965.47755628722,315682.70545120706,426946.52829536237
119,764999.9999999999,355011.9998655464,132523.75261479034,320448.1631841825,432684.02829536237
120,771374.9999999999,360749.4998655464,138261.25261479034,326185.6631841825,438421.52829536237
121,777749.9999999999,366486.9998655464,143790.92788734622,331923.1631841825,444159.02829536237
122,784124.9999999999,372224.4998655464,149185.6286693313,337660.6631841825,449896.52829536237
123,790499.9999999999,377961.9998655464,154785.2024967256,343398.1631841825,455634.02829536237
124,796874.9999999999,383699.4998655464,160251.4296546757,349135.6631841825,461371.52829536237
125,803249.9999999999,389436.9998655464,165735.31227319443,354873.1631841825,467109.02829536237
126,809624.9999999999,395174.4998655464,171188.52585452353,360610.6631841825,472846.52829536237
127,815999.9999999999,400911.9998655464,176633.4086777379,366348.1631841825,478584.02829536237
128,822374.9999999999,406649.4998655464,182015.05261388488,372085.6631841825,484321.52829536237
129,828749.9999999999,412386.9998655464,187349.20657085633,377823.1631841825,490059.02829536237
130,835124.9999999999,418124.4998655464,192855.08953725715,383560.6631841825,495796.52829536237
131,841499.9999999999,423861.9998655464,198253.1609893081,389298.1631841825,501534.02829536237
132,847874.9999999999,429599.4998655464,203589.34117686708,395035.6631841825,507271.52829536237
133,854249.9999999999,435336.9998655464,208816.798933322,400773.1631841825,513009.02829536237
134,860624.9999999999,441074.4998655464,214073.80095129382,406510.6631841825,518746.52829536237
135,866999.9999999999,446811.9998655464,219301.25870774873,412248.1631841825,524484.0282953624
136,873374.9999999999,452549.4998655464,224734.2150123875,417985.6631841825,530221.5282953624
137,879749.9999999999,458286.9998655464,230006.8151997519,423723.1631841825,535959.0282953624
138,886124.9999999999,464024.4998655464,235265.38519633745,429460.6631841825,541696.5282953624
139,892499.9999999999,469761.9998655464,235645.8521841516,435198.1631841825,547434.0282953624
140,898874.9999999999,475499.4998655464,235857.61641468902,440935.6631841825,553171.5282953624
141,905249.9999999999,481236.9998655464,236020.3199233099,446673.1631841825,558909.0282953624
142,911624.9999999999,486974.4998655464,236183.02343193078,452410.6631841825,564646.5282953624
143,917999.9999999999,492711.9998655464,236341.6292538798,458148.1631841825,570384.0282953624
144,924374.9999999999,498169.7352159183,242079.1292538798,463380.6957824052,576121.5282953624
145,930749.9999999999,503907.2352159183,247816.6292538798,469118.1957824052,581859.0282953624
146,937124.9999999999,509644.7352159183,253554.1292538798,474855.6957824052,587596.5282953624
147,943499.9999999999,514983.4847561113,259291.6292538798,479442.6009095303,593334.0282953624
148,949874.9999999999,520514.3782295912,265029.1292538798,484936.8330594983,599071.5282953624
149,956249.9999999999,526251.8782295912,270766.6292538798,490674.3330594983,604809.0282953624
150,962624.9999999999,531989.3782295912,276504.1292538798,496411.8330594983,610546.5282953624
151,968999.9999999999,536658.2415122079,282241.6292538798,502149.3330594983,616284.0282953624
152,975374.9999999999,542395.7415122079,287979.1292538798,507577.50246702187,622021.5282953624
153,981749.9999999999,548044.4852718937,293716.6292538798,513110.8207865153,627759.0282953624
154,988124.9999999999,553002.0498561456,299454.1292538798,518533.4154480582,633496.5282953624
155,994499.9999999999,558419.2410028065,305191.6292538798,524270.9154480582,639234.0282953624
156,1000874.9999999999,563641.1977848619,310929.1292538798,529382.4495097029,644971.5282953624
157,1007249.9999999999,568216.363043121,316666.6292538798,535035.5861675981,650709.0282953624
158,1013624.9999999999,572838.6042798323,322404.1292538798,540754.9397376571,656446.5282953624
159,1019999.9999999999,577078.6880586032,328141.6292538798,546492.4397376571,662184.0282953624
160,1026374.9999999999,582816.1880586032,333879.1292538798,552229.9397376571,667921.5282953624
161,1032749.9999999999,587789.1944129361,339616.6292538798,557109.9669543181,673659.0282953624
162,1039124.9999999999,593243.9228292544,345354.1292538798,561509.5354458329,679396.5282953624
163,1045499.9999999999,597369.6977493102,345780.0870833296,566742.1424562393,685134.0282953624
164,1051874.9999999998,601013.6440428946,345791.6937468135,572479.6424562393,690871.5282953624
165,1058249.9999999998,606470.8514686797,345791.6937468135,575714.6670745403,696609.0282953624
166,1064624.9999999998,609737.2140554397,345791.6937468135,578980.0300479996,702346.5282953624
167,1070999.9999999998,614696.6252089879,345791.6937468135,583590.0307304859,708084.0282953624
168,1077374.9999999998,620434.1252089879,351529.1937468135,589327.5307304859,713821.5282953624
169,1083749.9999999998,626171.6252089879,357266.6937468135,595065.0307304859,719559.0282953624
170,1090124.9999999998,631909.1252089879,363004.1937468135,600802.5307304859,725296.5282953624
171,1096499.9999999998,637646.6252089879,368741.6937468135,606540.0307304859,731034.0282953624
172,1102874.9999999998,643384.1252089879,374479.1937468135,612277.5307304859,736771.5282953624
173,1109249.9999999998,649121.6252089879,380216.6937468135,618015.0307304859,742509.0282953624
174,1115624.9999999998,654859.1252089879,385954.1937468135,623752.5307304859,748246.5282953624
175,1121999.9999999998,660596.6252089879,391691.6937468135,629490.0307304859,753984.0282953624
176,1128374.9999999998,666334.1252089879,397429.1937468135,635227.5307304859,759721.5282953624
177,1134749.9999999998,672071.6252089879,403166.6937468135,640965.0307304859,765459.0282953624
178,1141124.9999999998,677809.1252089879,408904.1937468135,646702.5307304859,771196.5282953624
179,1147499.9999999998,683546.6252089879,414641.6937468135,652440.0307304859,776934.0282953624
180,1153874.9999999998,689284.1252089879,420379.1937468135,658177.5307304859,782671.5282953624
181,1160249.9999999998,695021.6252089879,425909.49977339676,663915.0307304859,788409.0282953624
