Datetime,TotalD,GEFS,NDFD,GAVG,REAL
238,1091652.8326084607,142144.26662501984,484014.46428300673,185460.00748316947,49078.6620397638
239,1091652.8326084607,142144.26662501984,484014.46428300673,185460.00748316947,49078.6620397638
240,1108968.040221859,145029.6279327001,495504.69202397036,189448.74973769597,49078.6620397638
241,1108968.040221859,145029.6279327001,495504.69202397036,189448.74973769597,49078.6620397638
242,1108968.040221859,145029.6279327001,495504.69202397036,189448.74973769597,49078.6620397638
243,1108968.040221859,145029.6279327001,495504.69202397036,189448.74973769597,49078.6620397638
244,1108968.040221859,145029.6279327001,495504.69202397036,189448.74973769597,49078.6620397638
245,1108968.040221859,145029.6279327001,495504.69202397036,189448.74973769597,49078.6620397638
246,1123464.0441011682,145029.6279327001,496453.6878743451,189448.74973769597,49078.6620397638
247,1123464.0441011682,145029.6279327001,496453.6878743451,189448.74973769597,49078.6620397638
248,1123464.0441011682,145029.6279327001,496453.6878743451,189448.74973769597,49078.6620397638
249,1123464.0441011682,145029.6279327001,496453.6878743451,189448.74973769597,49078.6620397638
250,1123464.0441011682,145029.6279327001,496453.6878743451,189448.74973769597,49078.6620397638
251,1123464.0441011682,145029.6279327001,496453.6878743451,189448.74973769597,49078.6620397638
252,1137143.685438142,145029.6279327001,497059.9248968878,189448.74973769597,49078.6620397638
253,1137143.685438142,145029.6279327001,497059.9248968878,189448.74973769597,49078.6620397638
254,1137143.685438142,145029.6279327001,497059.9248968878,189448.74973769597,49078.6620397638
255,1137143.685438142,145029.6279327001,497059.9248968878,189448.74973769597,49078.6620397638
256,1137143.685438142,145029.6279327001,497059.9248968878,189448.74973769597,49078.6620397638
257,1137143.685438142,145029.6279327001,497059.9248968878,189448.74973769597,49078.6620397638
258,1147975.781470343,145029.6279327001,497608.20847658825,189448.74973769597,49078.6620397638
259,1147975.781470343,145029.6279327001,497608.20847658825,189448.74973769597,49078.6620397638
260,1147975.781470343,145029.6279327001,497608.20847658825,189448.74973769597,49078.6620397638
261,1147975.781470343,145029.6279327001,497608.20847658825,189448.74973769597,49078.6620397638
262,1147975.781470343,145029.6279327001,497608.20847658825,189448.74973769597,49078.6620397638
263,1147975.781470343,145029.6279327001,497608.20847658825,189448.74973769597,49078.6620397638
264,1157578.6630306065,147319.34833109644,502679.2665469051,191639.9736913325,49078.6620397638
265,1157578.6630306065,147319.34833109644,502679.2665469051,191639.9736913325,49078.6620397638
266,1157578.6630306065,147319.34833109644,502679.2665469051,191639.9736913325,49078.6620397638
267,1157578.6630306065,147319.34833109644,502679.2665469051,191639.9736913325,49078.6620397638
268,1157578.6630306065,147319.34833109644,502679.2665469051,191639.9736913325,49078.6620397638
269,1157578.6630306065,147319.34833109644,502679.2665469051,191639.9736913325,49078.6620397638
270,1166168.7075187939,147319.34833109644,503497.17901149666,191639.9736913325,49078.6620397638
271,1166168.7075187939,147319.34833109644,503497.17901149666,191639.9736913325,49078.6620397638
272,1166168.7075187939,147319.34833109644,503497.17901149666,191639.9736913325,49078.6620397638
273,1166168.7075187939,147319.34833109644,503497.17901149666,191639.9736913325,49078.6620397638
274,1166168.7075187939,147319.34833109644,503497.17901149666,191639.9736913325,49078.6620397638
275,1166168.7075187939,147319.34833109644,503497.17901149666,191639.9736913325,49078.6620397638
276,1174573.2243850315,147319.34833109644,503802.0245186411,191639.9736913325,49078.6620397638
277,1174573.2243850315,147319.34833109644,503802.0245186411,191639.9736913325,49078.6620397638
278,1174573.2243850315,147319.34833109644,503802.0245186411,191639.9736913325,49078.6620397638
279,1174573.2243850315,147319.34833109644,503802.0245186411,191639.9736913325,49078.6620397638
280,1174573.2243850315,147319.34833109644,503802.0245186411,191639.9736913325,49078.6620397638
281,1174573.2243850315,147319.34833109644,503802.0245186411,191639.9736913325,49078.6620397638
282,1182784.4245213561,147319.34833109644,504108.9273443487,191639.9736913325,49078.6620397638
283,1182784.4245213561,147319.34833109644,504108.9273443487,191639.9736913325,49078.6620397638
284,1182784.4245213561,147319.34833109644,504108.9273443487,191639.9736913325,49078.6620397638
285,1182784.4245213561,147319.34833109644,504108.9273443487,191639.9736913325,49078.6620397638
286,1182784.4245213561,147319.34833109644,504108.9273443487,191639.9736913325,49078.6620397638
287,1182784.4245213561,147319.34833109644,504108.9273443487,191639.9736913325,49078.6620397638
288,1189643.2886661636,149501.1058714126,507231.7457677245,193723.20536798483,49078.6620397638
289,1189643.2886661636,149501.1058714126,507231.7457677245,193723.20536798483,49078.6620397638
290,1189643.2886661636,149501.1058714126,507231.7457677245,193723.20536798483,49078.6620397638
291,1189643.2886661636,149501.1058714126,507231.7457677245,193723.20536798483,49078.6620397638
292,1189643.2886661636,149501.1058714126,507231.7457677245,193723.20536798483,49078.6620397638
293,1189643.2886661636,149501.1058714126,507231.7457677245,193723.20536798483,49078.6620397638
294,1194627.2563232842,149501.1058714126,507370.6529970198,193723.20536798483,49078.6620397638
295,1194627.2563232842,149501.1058714126,507370.6529970198,193723.20536798483,49078.6620397638
296,1194627.2563232842,149501.1058714126,507370.6529970198,193723.20536798483,49078.6620397638
297,1194627.2563232842,149501.1058714126,507370.6529970198,193723.20536798483,49078.6620397638
298,1194627.2563232842,149501.1058714126,507370.6529970198,193723.20536798483,49078.6620397638
299,1194627.2563232842,149501.1058714126,507370.6529970198,193723.20536798483,49078.6620397638
300,1199303.8599279616,149501.1058714126,507496.52896717837,193723.20536798483,49078.6620397638
301,1199303.8599279616,149501.1058714126,507496.52896717837,193723.20536798483,49078.6620397638
302,1199303.8599279616,149501.1058714126,507496.52896717837,193723.20536798483,49078.6620397638
303,1199303.8599279616,149501.1058714126,507496.52896717837,193723.20536798483,49078.6620397638
304,1199303.8599279616,149501.1058714126,507496.52896717837,193723.20536798483,49078.6620397638
305,1199303.8599279616,149501.1058714126,507496.52896717837,193723.20536798483,49078.6620397638
306,1202982.891491833,149501.1058714126,507503.6927757588,193723.20536798483,49078.6620397638
307,1202982.891491833,149501.1058714126,507503.6927757588,193723.20536798483,49078.6620397638
308,1202982.891491833,149501.1058714126,507503.6927757588,193723.20536798483,49078.6620397638
309,1202982.891491833,149501.1058714126,507503.6927757588,193723.20536798483,49078.6620397638
310,1202982.891491833,149501.1058714126,507503.6927757588,193723.20536798483,49078.6620397638
311,1202982.891491833,149501.1058714126,507503.6927757588,193723.20536798483,49078.6620397638
312,1206093.025001372,150094.70048367052,508642.2563622443,194418.6022795474,49078.6620397638
313,1206093.025001372,150094.70048367052,508642.2563622443,194418.6022795474,49078.6620397638
314,1206093.025001372,150094.70048367052,508642.2563622443,194418.6022795474,49078.6620397638
315,1206093.025001372,150094.70048367052,508642.2563622443,194418.6022795474,49078.6620397638
316,1206093.025001372,150094.70048367052,508642.2563622443,194418.6022795474,49078.6620397638
317,1206093.025001372,150094.70048367052,508642.2563622443,194418.6022795474,49078.6620397638
318,1208533.401920411,150094.70048367052,508694.95588555915,194418.6022795474,49078.6620397638
319,1208533.401920411,150094.70048367052,508694.95588555915,194418.6022795474,49078.6620397638
320,1208533.401920411,150094.70048367052,508694.95588555915,194418.6022795474,49078.6620397638
321,1208533.401920411,150094.70048367052,508694.95588555915,194418.6022795474,49078.6620397638
322,1208533.401920411,150094.70048367052,508694.95588555915,194418.6022795474,49078.6620397638
323,1208533.401920411,150094.70048367052,508694.95588555915,194418.6022795474,49078.6620397638
324,1210769.9051429515,150094.70048367052,508705.35712712276,194418.6022795474,49078.6620397638
325,1210769.9051429515,150094.70048367052,508705.35712712276,194418.6022795474,49078.6620397638
326,1210769.9051429515,150094.70048367052,508705.35712712276,194418.6022795474,49078.6620397638
327,1210769.9051429515,150094.70048367052,508705.35712712276,194418.6022795474,49078.6620397638
328,1210769.9051429515,150094.70048367052,508705.35712712276,194418.6022795474,49078.6620397638
329,1210769.9051429515,150094.70048367052,508705.35712712276,194418.6022795474,49078.6620397638
330,1212231.7712765161,150094.70048367052,508705.35712712276,194418.6022795474,49078.6620397638
331,1212231.7712765161,150094.70048367052,508705.35712712276,194418.6022795474,49078.6620397638
332,1212231.7712765161,150094.70048367052,508705.35712712276,194418.6022795474,49078.6620397638
333,1212231.7712765161,150094.70048367052,508705.35712712276,194418.6022795474,49078.6620397638
334,1212231.7712765161,150094.70048367052,508705.35712712276,194418.6022795474,49078.6620397638
335,1212231.7712765161,150094.70048367052,508705.35712712276,194418.6022795474,49078.6620397638
336,1213322.375609147,150413.67609527576,509211.12886326533,194737.57789115264,49078.6620397638
337,1213322.375609147,150413.67609527576,509211.12886326533,194737.57789115264,49078.6620397638
338,1213322.375609147,150413.67609527576,509211.12886326533,194737.57789115264,49078.6620397638
339,1213322.375609147,150413.67609527576,509211.12886326533,194737.57789115264,49078.6620397638
340,1213322.375609147,150413.67609527576,509211.12886326533,194737.57789115264,49078.6620397638
341,1213322.375609147,150413.67609527576,509211.12886326533,194737.57789115264,49078.6620397638
342,1214192.7347665292,150413.67609527576,509211.12886326533,194737.57789115264,49078.6620397638
343,1214192.7347665292,150413.67609527576,509211.12886326533,194737.57789115264,49078.6620397638
344,1214192.7347665292,150413.67609527576,509211.12886326533,194737.57789115264,49078.6620397638
345,1214192.7347665292,150413.67609527576,509211.12886326533,194737.57789115264,49078.6620397638
